RECORD TYPE,DOCUMENT NUMBER,SOURCE DOCUMENT TYPE,DOCUMENT DESCRIPTION,REQUISITION NUMBER,INPUT DATE,TOTAL AMOUNT,DEPARTMENT NUMBER,DEPARTMENT NAME,COST CENTER,COST CENTER NAME,DOCUMENT TYPE CODE,DOCUMENT TYPE DESCRIPTION,DOCUMENT STATUS CODE,DOCUMENT STATUS DESCRIPTION,VOUCHED AMOUNT,START DATE,EXPIRATION DATE,EXTENSION DATE,ANNUAL CONTRACT,VENDOR NAME 1,VENDOR NAME 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR TYPE,GENDER,ETHNICITY,STATUS,CLASS,GEOGRAPHIC AREA,INDEPENDENT CONTRACTOR,MINORITY,DISADVANTAGED,DISABLED VETERAN,SB DISABLED VET,SB MINORITY,SB MINORITY WOMAN,SB NON-MINORITY,SB DISADVANTAGED,SB VETERAN,SB WOMAN,TOTAL ITEMS,ITEM NUMBER,ITEM DESCRIPTION,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM UNIT COST,ITEM TOTAL COST,COMMODITY CODE,COMMODITY DESCRIPTION,EXPENSE TYPE,EXPENSE TYPE DESCRIPTION
D,24003338,P,JANITORIAL SUPPLIES  GENERAL LINE,4556.0,04/24/2024,0,6020.0,DHDS,6020.0,HEADSTART,N,Normal,0.0,Closed,,,,,,GRAINGER,,NEW ORLEANS,LA,70123-3209,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,5.0,ITEM:  TK101520365T Trash Bag Capacity 30 gal Trash Bag Material LLDPE Percent Recycled Content 0 Percent Thickness 0.45 mil Color Clear Bag Closure Type None Width 30 in Height 36 in Max. Load 30 lb Bottom Seal Type Star Scent Unscented Legend No Legend PackageSupplier Part No: 31DK32Manufacturer Part No: 31DK32Manufacturer Name: TOUGH GUYSupplier Quote No: WWG31DK32NIGP: UNSPSC: 47121701,6.0,EA,31.24,187.44,48505.0,"BAGS AND LINERS, PLASTIC: GARB",631400.0,CLEANING/SANITATION SUPPLIES
H,25001822,P,RENTAL OR LEASE SERVICES OF OFFICE  PHOTOGRAPHIC,1587.0,03/10/2025,4235.5,6020.0,DHDS,6020.0,HEADSTART,B,Blanket,0.0,Closed,2705.42,,,,,SHARP ELECTRONICS CORP,,MONTVALE,NJ,7645,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,985.0,RENTAL OR LEASE SERVICES OF OF,,
D,18006085,P,COMPUTER SOFTWARE PER QUOTE NO,10394.0,07/06/2018,0,7820.0,BLDG&GROUND,7820.0,ARCHITECTURAL SERV,N,Normal,0.0,Closed,,,,,,DLT SOLUTIONS,,HERNDON,VA,20171,CONVERSION,FEMALE,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,ARCHITECTURE ENGINEERING & CONSTRUCTION COLLECTION GOVERNMENT SINGLE-USER ANNUAL SUBSCRIPTION RENEWAL SWITCHED FROM MAINTENANCE (YEAR 1); CONTRACT #110001728826 - POP:  8/8/18 THROUGH 8/7/19,3.0,EACH,1000.99,3002.97,92045.0,SOFTWARE MAINTENANCE AND SUPPO,631200.0,COMPUTER SOFTWARE/SUPPLIES
H,24007284,P,UNIT P1861 NSURANCE SERVICES  ALL TYPES,10158.0,09/23/2024,4309,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,4103.8,,,,,HAMPTON COLLISION CENTER INC,,BATON ROUGE,LA,70815,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,953.0,INSURANCE AND INSURANCE SERVIC,,
D,19007433,P,DEZURIK PLUG VALVES FOR DIGEST,12058.0,10/21/2019,0,7753.0,ENV SERV,7753.0,SEWER-WWT-SOUTH PLANT,N,Normal,0.0,Closed,,,,,,INNOVATIVE FLOW SOLUTIONS INC,,MANDEVILLE,LA,70448,CONVERSION,FEMALE,CAUCASIAN AMERICAN,A,,INS,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,6 DEZURIK PLUG VALVE LESS BODYREFERENCE QUOTE NUMBER: 158410 AUTHORIZED DEALER PART - PURCHASED IN ACCORDANCE WITH SEC. 1:706(D),12.0,EACH,837.0,10044.0,67076.0,"VALVES AND VALVE PARTS, MISCEL",632000.0,BUILDING MATERIALS
H,18004064,P,#6A155 V-BELT B36,7493.0,05/01/2018,960.65,7753.0,ENV SERV,7753.0,SEWER-WWT-SOUTH PLANT,N,Normal,0.0,Closed,960.65,,,,,GRAINGER,,NEW ORLEANS,LA,70123-3209,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,7.0,0.0,,,,,,,,,
D,22005549,P,HOSE ASSEMBLY,8095.0,07/14/2022,0,7753.0,ENV SERV,7753.0,SEWER-WWT-SOUTH PLANT,N,Normal,0.0,Closed,,,,,,RUBBER HOUSE OF B R INC,,BATON ROUGE,LA,70814,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,5.0,FH13107201 X 8' NPSH BRASS TAPERED NOZZLE,6.0,EACH,21.67,130.02,46090.0,"WATER HOSES AND FITTINGS, HIGH",631900.0,OTHER OPERATING & MT SUPPLIES
H,22006162,P,P 1828 36760-10 BRYSON,9201.0,08/05/2022,143,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,143.0,,,,,R&M COOLING PARTS LLC,,BATON ROUGE,LA,70814-2326,CONVERSION,,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,60.0,AUTOMOTIVE AND TRAILER EQUIPME,,
D,22006764,P,ITEM:  Flash Furniture Ergonom,10160.0,08/26/2022,0,2010.0,CITY COURT,2010.0,CITY COURT,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,ITEM:  Flash Furniture Ergonomic Memory Foam Seat Cushion  Black (MRSC101BK)Supplier Part No: 24497751Manufacturer Part No: MRSC101BKManufacturer Name: Belnick  Inc.Supplier Quote No: NIGP: UNSPSC: 56101504,1.0,EA,41.49,41.49,,,631000.0,OFFICE SUPPLIES
D,23007587,P,DECORATIVE RIBBON  PICS  BRANCHES  AND ORNAMENTS �,10295.0,10/17/2023,0,910.0,AIRPORT,910.0,ADMINISTRATION,N,Normal,0.0,Closed,,,,,,BILLY HEROMANS FLOWERLAND INC,,BATON ROUGE,LA,70816,PROFESSION,,,A,CORP,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,7.0,4� 10 Yard Ribbon Bolts,10.0,EACH,32.0,320.0,3734.0,"DECORATIONS: HOLIDAY, PARTY, E",631900.0,OTHER OPERATING & MT SUPPLIES
D,24002578,P,EM102 59870-12 WALLY,3726.0,03/28/2024,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,800004226.0,ALL STAR AUTOMOTIVE,,DENHAM SPRINGS,LA,70726-5551,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,EM102 59870-12 WALLYLC3Z-19972-C TUBEITEM 0003 Original Equipment Manufacturer Standard Replacement Parts With Discount;  any parts item with a net 34% discount price in excess of $5 000.00 is excluded,1.0,EACH,87.15,87.15,92815.0,AUTOMOBILE AND OTHER PASSENGER,601220.0,COST OF GOODS-PARTS-NON INV
D,20003775,P,STATE CONT/MMCAP: 4400015163 -,6289.0,06/25/2020,0,5210.0,EMS,5210.0,OPERATIONS,N,Normal,0.0,Closed,,,,,,MEDICAL SOLUTIONS INC,,BROOKLYN PARK,MN,55445,EQUIPMENT,MALE,HISPANIC-AMERICAN,A,LLCS,USA,N,Y,N,N,N,Y,N,N,N,N,N,1.0,8.0,STATE CONTRACT: 4400015163LINE (8): ZOL-8778-200044: MFG: ZOLL MEDICAL: MFG#: 8778-200044: 4 YEARS ON-SITE WARRANTY  1 PREVENTIVE MAINTENANCE  PER YEAR  BATTERY REPLACEMENT EACH: UNSPSC: 55101516.,43.0,EACH,5570.0,239510.0,47537.0,EMERGENCY MEDICAL SERVICES (EM,654140.0,MEDICAL EQUIPMENT
H,18002226,P,SECURITY SAFETY,4591.0,03/13/2018,1140.5,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,1140.5,,,,,SECURITY SAFETY & SUPPLY INC,,PORT ALLEN,LA,70767-0755,CONVERSION,,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,6.0,0.0,,,,,,,,,
H,18001035,P,HVAC SUPPLIES FOR WORK ORDER 9,2315.0,02/08/2018,111.06,7830.0,BLDG&GROUND,7830.0,BUILDING MAINT,N,Normal,0.0,Closed,111.06,,,,,COBURNS WHOLESALE DISTRIBUTORS,,BATON ROUGE,LA,70817,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,31.0,"AIR CONDITIONING, HEATING, AND",,
D,18007379,P,Spacesaver Cantilever Library,8318.0,08/16/2018,0,1200.0,LIBRARY,1200.0,LIBRARY,N,Normal,0.0,Closed,,,,,,ASSOCIATED OFFICE SYSTEMS,,BATON ROUGE,LA,70801-0001,CONVERSION,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,119.0,Spacesaver Cantilever Library Bookstack Shelving for River Center Branch Library Phase 2: per State Contract No. 4400009892;per attached itemized list.ITEM #CBSF-36,2.0,EACH,19.25,18.1,42048.0,"LIBRARY SHELVING, METAL",654000.0,FIXED & MOVABLE ASSETS
H,17000600,P,Wire sling,1297.0,10/20/2017,77.8,7754.0,ENV SERV,7754.0,SEWER-WWT-NORTH PLANT,N,Normal,0.0,Closed,77.8,,,,,COCA SALES INC,,BAKER,LA,70714,CONVERSION,MALE,CAUCASIAN AMERICAN,A,,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,,,,
D,25003069,P,COPIER RENTAL,4280.0,04/28/2025,0,2010.0,CITY COURT,2010.0,CITY COURT,B,Blanket,0.0,Closed,,,,,,SHARP ELECTRONICS CORP,,MONTVALE,NJ,7645,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,12.0,Location: Appeals  ID#20913  Serial#2300562Y Term Date: 1/1/25-12/31/25Contract#4400030165(BP-70M45) 45PPM B&W Workgroup Document System(BP-FN11) Inner Finisher (Included)(BP-DE14) 4X550 Sheet Paper Drawers (Included)(AR-D5133NT) 15Amp Power (Included)*Staples and Paper Not IncludedMonthly Copy Allowance 8 000 B&W CopiesB&W Monthly Overages Billed @ 0.0055 Per Page,12.0,EACH,141.91,1702.92,93937.0,ELECTRONIC EQUIPMENT MAINTENAN,646300.0,RENTALS-OFFICE EQUIPMENT
D,23002799,P,STATE CONTRACT#4400022750  RAD,3618.0,04/10/2023,0,5210.0,EMS,5210.0,OPERATIONS,N,Normal,0.0,Closed,,,,,,MOTOROLA SOLUTIONS INC,,CHICAGO,IL,60661,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,31.0,W969BGADD: MULTIKEY OPERATION,9.0,EACH,235.95,2123.55,72688.0,"TWO-WAY RADIO, PORTABLE, INCLU",634600.0,RADIO/COMMUNICATION SUPPLIES
D,24006649,P,3416 63934-12 TEKELVEE,9362.0,08/30/2024,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,INDUSTRIAL SCREW & SUPPLY CO INC,,BATON ROUGE,LA,70821,CONVERSION,MALE,CAUCASIAN AMERICAN,A,,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,3416 63934-12 TEKELVEEHTS 05 024ZPT HEX TEK SCREW ZP,30.0,EACH,0.8,24.0,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
D,26002321,P,PH BUFFER 7.0,3357.0,03/30/2026,0,7755.0,ENV SERV,7755.0,SEWER-WWT-LAB,N,Normal,0.0,Closed,,,,,,LANG'S STANDARD SOLUTIONS,,BATON ROUGE,LA,70816-2761,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,3.0,ACID REAGENT FOR CHLORINE,3.0,EACH,62.5,187.5,17513.0,"CHEMICALS, LABORATORY: ACS, CP",635300.0,MEDICINES/LABORATORY SUPPLIES
D,24009699,P,FUEL  OIL  GREASE AND LUBRICANTS,13496.0,12/26/2024,0,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,,,,,,NEWMAN COMMERCIAL HARDWARE,,BATON ROUGE,LA,70806-3596,CONVERSION,FEMALE,CAUCASIAN AMERICAN,A,,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,4.0,BRUSH  AUTO SCRUB WITH ON/OFF VALVE W/BRUSH,24.0,EACH,18.0,432.0,7510.0,BRUSHES AND CLEANING COMPOUNDS,150000.0,INVENTORY
D,18004087,P,SAFETY EQUIPMENT TO REFILL VEN,7543.0,05/02/2018,0,7831.0,BLDG&GROUND,7831.0,PRISON MAINT,N,Normal,0.0,Closed,,,,,,FASTENAL COMPANY,,BATON ROUGE,LA,70809,CONVERSION,NOT PROVIDED,ETHNICITY NOT SPECIFIED,A,,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,16.0,BEARKAT GREY LENS,19.0,EACH,2.9,55.01,34579.0,REFLECTIVE SAFETY APPAREL AND,631900.0,OTHER OPERATING & MT SUPPLIES
D,20001769,P,GLOVES & PROTECTIVE EQUIPMENT,3309.0,03/13/2020,0,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,,,,,,SECURITY SAFETY & SUPPLY INC,,PORT ALLEN,LA,70767-0755,CONVERSION,,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,5.0,BOOTS  SZ-12  KNEE  P V C  SAFETY TOE,6.0,PAIR,15.75,94.5,80024.0,"BOOTS, RUBBER, SAFETY TOE",150000.0,INVENTORY
H,800000428,C,PO161253 PROFESSIONAL SERVICES CONTRACT FOR RE-BRA,675.0,10/19/2017,1837.5,7020.0,BUSINESS OPS,7020.0,WORKFORCE DEV,7,Professional Serv,10.0,Closed,1837.5,11/15/2016,06/30/2017,,,AN ADVERTISING TEAM INC,RIGHT ANGLE,LAFAYETTE,LA,70501,CONVERSION,,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,,,,
H,26002435,P,UNIT 4479 WO 85558 EQUIPMENT MAINTENANCE,3266.0,04/01/2026,11199.6,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,8.0,Printed,0.0,,,,,SUNSHINE QUALITY SOLUTIONS LLC,,DONALDSONVILLE,LA,70346,EQUIPMENT,,,A,LLCC,INS,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,928.0,EQUIPMENT MAINTENANCE AND REPA,,
D,20004385,P,3592 AUTOMOTIVE AND TRAILER EQ,7722.0,07/20/2020,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,IVYS LAWNMOWER SUPPLY LLC,,BATON ROUGE,LA,70802-4636,PROFESSION,MALE,CAUCASIAN AMERICAN,A,SOLE,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,regulator-voltage,1.0,EACH,37.25,37.25,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
D,21009895,P,4460  26651-12  JASON,14478.0,11/30/2021,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,,SUNSHINE QUALITY SOLUTIONS LLC,,DONALDSONVILLE,LA,70346,EQUIPMENT,,,A,LLCC,INS,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,4460  26651-12  JASON  FILTER RE195491,1.0,EACH,17.43,17.43,6066.0,"PARTS AND ACCESSORIES, AUTOMOT",601220.0,COST OF GOODS-PARTS-NON INV
D,24002042,P,RADIO COMMUNICATION EQUIPMENT AND ANTENNAS  INCLUD,1108.0,03/11/2024,0,5140.0,FIRE,5140.0,SPECIAL SERVICES,N,Normal,0.0,Closed,,,,,,MOTOROLA SOLUTIONS INC,,CHICAGO,IL,60661,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,7.0,Item#Q58ALDescription: ADD 3 year essential servicePurchasing from ascension parish contract 23136,50.0,EACH,184.0,9200.0,72688.0,"TWO-WAY RADIO, PORTABLE, INCLU",654180.0,RADIO/COMMUNICATION EQUIPMENT
D,24001630,P,Taylor Health Care 800003856,2562.0,02/27/2024,0,5210.0,EMS,5210.0,OPERATIONS,N,Normal,0.0,Closed,,,,,800003856.0,TAYLOR HEALTHCARE PRODUCTS INC,,SPRING,TX,77386,,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,20-02 Patient privacy flat sheet. 55gsm non-woven spun bond polypropylene.  Dimensions: 40� X 84�  dark blue. BRAND: Taylor Healthcare Products #90-BPS4084.  IF NOT BID AS SPECIFIED  MUST SEND SAMPLE WITH BID,30.0,CASE,43.5,1305.0,47537.0,EMERGENCY MEDICAL SERVICES (EM,635300.0,MEDICINES/LABORATORY SUPPLIES
D,21006752,P,CITY OF BATON ROUGE PS #234- Y,10004.0,08/10/2021,0,7742.0,ENV SERV,7742.0,SEWER-PUMP STATIONS,N,Normal,0.0,Closed,,,,,,ALLAN J HARRIS CO INC,,METAIRIE,LA,70055,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,CITY OF BATON ROUGE PS #234-YCC SO#903758797862364VOL/WR 4123  QL  CI/PLWR  210TY12 WEEKSF.O.B DESTINATION (BATON ROUGE)REFERENCE 8-4-21 QUOTEPURCHASED IN ACCORDANCE WITH SEC. 1:705(c),1.0,EACH,4590.0,4590.0,72040.0,"MECHANICAL PUMPS, INCLUDING PA",632000.0,BUILDING MATERIALS
D,24000280,P,MONTHLY JANITORIAL SERVICES FOR JUVENILE SERVICES,325.0,01/12/2024,0,7830.0,BLDG&GROUND,7830.0,BUILDING MAINT,B,Blanket,0.0,Closed,,,,,800005441.0,TITIAN CLEANING LLC,OMEX INTERNATIONAL,TEMPE,AZ,85281,CONTRACTSV,,,A,SOLE,USA,N,Y,N,N,Y,Y,N,N,N,Y,N,1.0,5.0,JANITORIAL AND CUSTODIAL SERVICES Base Price � Janitorial Services to be performed at the EBR District Attorney�s Office at 8333 Veterans Blvd.   Houses approximately 11 employees and 1 visitors per day.                                Cleaning Schedule: M-F 5:00 pm to 10pm. NIGHT CREW  consisting of a minimum of 4 employees plus an Onsite supervisor who is also performing cleaning duties and responsible for ensuring all daily/weekly/monthly/semi-annual duties are performed.  The Night crew is to perform all of the daily/weekly/monthly/semi-annual cleaning schedule duties contained in the attached specifications dated November 2022.  Square feet per location is approximate. PER CONTRACT 800005441 FOR THE PERIOD OF 1/1/2024-7/31/2024,7.0,MONTH,342.14,2394.98,91039.0,JANITORIAL AND CUSTODIAL SERVI,642200.0,JANITORIAL/EXTERMINATION SRV
D,20005367,P,LAWN MAINTENANCE EQUIPMENT AND,8478.0,08/28/2020,0,1200.0,LIBRARY,1200.0,LIBRARY,N,Normal,0.0,Closed,,,,,800001014.0,BAYOU TREE SERVICE INC,,BATON ROUGE,LA,70807-4058,CONVERSION,MALE,ETHNICITY NOT SPECIFIED,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,TREE TRIMMING AND PRUNING EQUIPMENT: PORTABLE  POWER OPERATED  NOT SAWS-Tree Pruning And Shaping � 11� To 20� (Canopy Diameter) LIVE OAKS,7.0,EACH,350.0,2450.0,51583.0,TREE TRIMMING AND PRUNING EQUI,643500.0,OTHER CONTRACTUAL SERVICES
H,20009125,P,*** UNIT P1964***BODY BID SERV,14756.0,12/28/2020,1059.3,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,0.0,,,,,WALTER ARINDER,ARINDERS BODY SHOP,BATON ROUGE,LA,70819-3204,CONVERSION,MALE,CAUCASIAN AMERICAN,S,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,928.0,EQUIPMENT MAINTENANCE AND REPA,,
D,23002125,P,ITEM:  TRU RED 8.5  x 11  Copy,3356.0,03/14/2023,0,7340.0,DEVELOPMENT,7340.0,NEIGHBORHOOD REVIT,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,8.0,ITEM:  BIC Wite-Out EZ Correct Correction Tape  White  18/Pack (WOTAP18-WHI)Supplier Part No: 24406019Manufacturer Part No: WOTAP18WHIManufacturer Name: BIC CORPORATIONSupplier Quote No: 24406019NIGP: UNSPSC: 44121801,1.0,PK,20.83,20.83,61529.0,"CORRECTION FLUID, SHEETS AND T",631000.0,OFFICE SUPPLIES
D,25007612,P,SOUTH LANDSCAPE Q LEDUFF,10564.0,11/04/2025,0,7620.0,MAINTENANCE,7620.0,LANDSCAPE MAINT,N,Normal,0.0,Closed,,,,,,C & M OUTDOOR POWER EQUIPMENT INC,,DENHAM SPRINGS,LA,70726,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,BOSCH BIG PLUG,1.0,EACH,5.6,5.6,6063.0,"IGNITION SYSTEM: COILS, CONDEN",631900.0,OTHER OPERATING & MT SUPPLIES
H,170880,P,DS 02704-17 SB,170880.0,08/02/2017,17635,5010.0,POLICE,5010.0,ADMINISTRATION,N,Normal,0.0,Closed,17635.0,,,,,WATSON MECHANICAL SERVICES INC,,BATON ROUGE,LA,70806,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,0.0,,,,,,,,,
D,24003243,P,AUTOMOBILES  SCHOOL BUSES  SUVS  AND VANS  INCLUDI,3859.0,04/19/2024,0,5140.0,FIRE,5140.0,SPECIAL SERVICES,N,Normal,0.0,Closed,,,,,,ST MARTIN PARISH ACQUISITIONS,COURTESY FORD,BREAUX BRIDGE,LA,70517,VEHICLE,,,A,PSHP,INS,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,STATE CONTRACT#4400023793 LINE ITEM# 88 FORD F-450 CREW CAB 4X2 W/6.7L DIESEL ENGINE/XL-650A PACKAGE 60 INCH CAB TO AXLE (WITH ALL FACTORY STANDARD EQUIPMENT) POWER WINDOWS  LOCKS  CRUISE  VINYL SEATS& FLOORS RED(PQ) IN COLOR AMBULANCES AND RESCUE VEHICLES (SEE 072-30 FOR FIRE PROTECTION AND CRASH RESCUE TRUCKS),1.0,EACH,62089.0,62089.0,7103.0,AMBULANCES AND RESCUE VEHICLES,654300.0,MOTOR VEHICLES
H,20007683,P,GLOVES & HAND TOOL ITEMS,12709.0,11/02/2020,1008.06,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,1008.06,,,,,NORTHERN SAFETY CO INC,,UTICA,NY,13504-4250,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,445.0,"HAND TOOLS, POWERED AND NON-PO",,
D,19003401,P,BUSINESS CARDS ON CONTRACT,6210.0,05/03/2019,0,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,,,,,800000127.0,PRINTING TECH,,BATON ROUGE,LA,70816,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,CARD PRINTING: TAB  POST  FORM  ETC. - CATEGORY 1 - STANDARD BUSINESS CARDS (ITEMS 1-4) (500 PER BOX),2.0,BOX,28.0,56.0,96611.0,"CARD PRINTING: TAB, POST, FORM",631900.0,OTHER OPERATING & MT SUPPLIES
D,24001687,P,Marking Tape,2584.0,02/29/2024,0,7140.0,TRAN & DRAIN,7140.0,TRAFFIC ENG,N,Normal,0.0,Closed,,,,,,PATCH RUBBER COMPANY INC,ADVANCED TRAFFIC MARKINGS,ROANOKE RAPIDS,NC,27870,CONVERSION,,,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,2.0,19-301 Durable 4 x 120' Yellow,12.0,EACH,99.92,1199.04,55072.0,"STRIPES AND LEGENDS, PLASTIC,",632160.0,TRAFFIC SUPPLIES
H,20002594,P,VLA OFFICE STD 2019 QUOTE NO.,4651.0,05/01/2020,1337.6,7730.0,ENV SERV,7730.0,SEWER-ENGINEERING,N,Normal,0.0,Closed,1337.6,,,,,DELL INC,,ROUND ROCK,TX,78682,COMPUTER H,,,A,PSHP,USA,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,,,,
D,22000097,P,VEST  SAFETY  LIME GREEN 2  SI,396.0,01/10/2022,0,7030.0,BUSINESS OPS,7030.0,WAREHOUSE,N,Normal,0.0,Closed,,,,,,SECURITY SAFETY & SUPPLY INC,,PORT ALLEN,LA,70767-0755,CONVERSION,,CAUCASIAN AMERICAN,A,,,N,N,N,N,N,N,N,N,N,N,N,1.0,4.0,RAIN PANTS LARGE  HI VIS,12.0,EACH,26.09,313.08,20165.0,"RAINWEAR: RAINCOATS, HATS, SLI",150000.0,INVENTORY
D,22008407,P,FLAGS  FLAG POLES  BANNERS  AN,12605.0,10/25/2022,0,1200.0,LIBRARY,1200.0,LIBRARY,N,Normal,0.0,Closed,,,,,,TRINITY DESIGN STUDIOS INC,,BATON ROUGE,LA,70816,ADVERTISIN,,,A,CORP,INP,N,N,N,N,N,N,N,N,N,N,Y,1.0,3.0,FLAG ACCESSORIES: BELTS  BRACKETS  COVERS  CROSSES  EAGLES  HOLDERS  SOCKETS  SPEARS  STAFFS  STANDS  AND TASSELS1/8 5/32 SS THIMBLES CABLE/ROPE,20.0,EACH,6.2,124.0,35020.0,"FLAG ACCESSORIES: BELTS, BRACK",631900.0,OTHER OPERATING & MT SUPPLIES
D,18008607,P,3510 AUTOMOTIVE AND TRAILER EQ,13598.0,09/24/2018,0,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,,,,,800000110.0,CRAWLER SUPPLY CO LLC,,BATON ROUGE,LA,70805-3212,,MALE,CAUCASIAN AMERICAN,A,LLCS,INP,N,N,N,N,N,N,N,N,N,N,N,1.0,4.0,UNIT 3510 CONTRACT A16-0705 NUTORIGINAL EQUIPMENT MANUFACTURER�S MENZI MUCK EXCAVATOR PARTS WITH 12% DISCOUNT,10.0,EACH,1.14,11.4,92935.0,"EARTH HANDLING, GRADING, MOVIN",601220.0,COST OF GOODS-PARTS-NON INV
D,18002077,P,OFFICE SUPPLIES  GENERAL,4261.0,03/07/2018,0,4140.0,FINANCE,4140.0,REVENUE COLLECTION,N,Normal,0.0,Closed,,,,,,STAPLES,,FRAMINGHAM,MA,1702,CONVERSION,,,A,CORP,USA,N,N,N,N,N,N,N,N,N,N,N,1.0,5.0,BATTERIES  COMPUTER  PERIPHERAL AND UNIVERSAL POWER SUPPLY (UPS),1.0,BOX,9.39,9.39,20710.0,"BATTERIES, COMPUTER, PERIPHERA",631000.0,OFFICE SUPPLIES
H,21010464,P,AUTOMOTIVE AND TRAILER EQUIPME,15419.0,12/28/2021,2299.12,7910.0,FLEET,7910.0,CENTRAL GARAGE,N,Normal,0.0,Closed,2299.12,,,,,COVINGTON SALES & SERVICE INC,,DENHAM SPRINGS,LA,70727-1144,,,,A,CORP,INS,N,N,N,N,N,N,N,N,N,N,N,2.0,0.0,,,,,,60.0,AUTOMOTIVE AND TRAILER EQUIPME,,
